name,merchant_abn,eariningmean2015-2016,eariningmean2016-2017,eariningmean2017-2018,eariningmean2018-2019,eariningmean2019-2020,earners2015-2016,earners2016-2017,earners2017-2018,earners2018-2019,earners2019-2020,earningmedian2015-2016,earningmedian2016-2017,earningmedian2017-2018,earningmedian2018-2019,earningmedian2019-2020,earningsum2015-2016,earningsum2016-2017,earningsum2017-2018,earningsum2018-2019,earningsum2019-2020
Eleifend Egestas Sed Corporation,69059526358,32770.278,33523.125,33633.164,35021.559,34278.374,2724.418,2808.521,2861.378,2909.008,2946.602,26042.054,26319.945,27040.475,28329.58,28184.098,158972697.862,166502311.985,172413817.362,181171784.253,182641285.542
Eleifend Incorporated,43308864284,36018.136,37445.137,37649.75,38973.342,39577.531,3402.736,3534.338,3597.419,3635.05,3652.573,28541.335,29411.565,30035.36,31282.092,31637.542,203475443.67,217987933.028,228294453.88,237034906.863,242404632.826
Eleifend Nec Consulting,50467745297,37304.106,38434.849,39068.329,40207.565,40119.131,3279.099,3383.462,3457.688,3517.33,3558.345,29249.064,29968.421,30866.022,31762.963,31840.421,194268901.961,205179580.977,213969712.758,224808262.294,229493055.722
Eleifend Nec Incorporated,21532935983,34560.615,35605.773,36134.802,37253.657,36947.817,3010.774,3117.449,3185.896,3240.271,3275.287,27537.178,28231.075,29040.6,30091.314,30132.632,176404919.825,186364839.845,194690418.302,203782335.903,207286939.217
Eleifend Nec Institute,66748498849,31774.454,33643.633,34936.805,36016.198,37087.279,2918.643,3018.617,3060.938,3121.369,3157.284,27150.633,28303.506,29512.724,30622.617,31318.357,141066272.145,152025675.768,160231842.416,168850200.905,174088946.447
Eleifend Non Inc.,54705111450,34770.947,35733.716,36133.289,37175.732,36888.006,3060.858,3165.659,3238.335,3294.76,3331.112,27506.793,28136.734,28888.685,29916.387,29972.94,182916812.492,192639563.79,200944833.467,210167692.57,213797210.374
Eleifend Nunc LLP,84226109829,34646.045,35413.17,35532.043,36664.013,36579.979,2896.952,3006.682,3072.596,3131.608,3166.95,27403.28,27951.812,28493.166,29608.137,29794.862,177377597.033,186915904.195,195404413.672,204119845.436,208327631.148
Eleifend PC,67400260923,34664.598,35703.542,36141.776,37211.941,36914.755,3074.088,3180.486,3252.254,3307.612,3342.325,27499.671,28187.975,28940.266,29969.275,30037.173,182586807.305,192579941.291,200960885.052,210144685.68,213631022.823
Eleifend Vitae Erat Corporation,60023412760,35226.213,36160.401,36686.886,37752.599,37497.746,3184.744,3288.959,3360.904,3416.626,3453.656,27772.421,28408.8,29199.774,30205.516,30345.192,192497554.736,202089892.46,211162349.434,220546100.854,224405713.365
Eleifend Vitae Inc.,43426057710,31018.648,31922.923,33143.203,33002.629,32437.074,2651.236,2733.513,2784.313,2812.374,2845.112,25141.05,25680.778,26970.359,27273.936,27173.987,140161437.796,147633946.899,154823484.437,158529164.86,160215349.3
Elementum At Egestas Ltd,77929547081,34334.637,35378.628,35826.402,36890.024,36517.825,3039.78,3141.747,3215.209,3269.209,3303.426,27166.534,27858.885,28583.117,29612.473,29633.449,180395902.286,190021140.027,198408253.953,207504709.794,210535007.814
Elementum At LLP,28681229636,34917.733,35876.642,36329.375,37358.479,37066.03,3095.206,3201.857,3273.622,3330.481,3367.155,27588.405,28227.889,28977.908,30003.359,30045.531,185581355.569,195420965.131,204131013.172,213276640.546,216928991.259
Elementum At Ltd,66069111675,37316.854,38846.844,38880.251,40425.393,40268.94,3505.004,3593.022,3673.395,3730.171,3760.584,30047.09,30928.931,31628.541,33038.455,33303.065,198352436.968,208709254.292,215273402.525,226988801.67,229355257.248
Elementum Dui Associates,14666015798,30929.807,31791.857,32543.624,33577.726,33519.038,2647.671,2739.039,2812.673,2868.517,2892.346,24874.665,25492.793,26379.811,27242.385,27395.282,153812526.128,161322324.318,170000187.773,178905412.885,182637453.733
Elementum Dui Limited,65345485504,37251.539,38917.157,39736.59,41207.765,40272.465,3590.758,3706.581,3788.599,3851.215,3866.342,29997.129,30946.688,31917.845,33211.909,32921.469,205626836.255,218563702.59,230121586.386,240733660.379,242804303.299
Elementum Dui Quis Ltd,25938405651,34628.464,35600.902,36038.329,37118.213,36817.937,3065.652,3174.597,3247.631,3304.328,3339.78,27493.363,28139.568,28904.47,29925.765,29979.649,181888859.095,191876039.911,200438408.045,209661792.603,213290486.661
Elementum LLC,23399930700,31547.847,32578.048,33164.71,34318.098,34214.436,2915.949,3014.696,3082.927,3132.075,3168.288,25316.526,25966.076,26778.877,27762.196,27935.522,172026732.026,181457329.282,189602049.087,198745771.803,202656747.593
Elementum Lorem Industries,51959118092,34620.968,35634.018,36082.114,37205.532,36996.84,3084.485,3189.048,3260.944,3316.568,3352.274,27548.073,28199.336,28952.111,29998.132,30100.589,182315861.574,192167176.552,200563166.793,210044860.908,213826514.367
Elementum Purus Accumsan Inc.,80213126311,33582.685,34570.03,35110.454,36192.634,36266.663,3223.362,3339.054,3423.097,3492.514,3542.352,26961.166,27626.878,28397.611,29478.793,29711.684,185701637.3,196100710.261,205086793.848,215606758.908,221225223.923
Elementum Purus Foundation,27657048362,34045.668,35206.651,35696.246,36819.761,36862.363,3167.646,3263.314,3333.08,3385.888,3422.466,26998.386,27762.758,28527.225,29601.937,29741.853,187240888.265,196072291.397,204642435.214,213723581.385,218141477.974
Elementum Sem LLP,19841142617,38564.879,40327.985,40715.7,42641.927,41974.58,3314.555,3424.694,3499.37,3554.438,3593.635,30552.484,31595.257,32304.136,33655.085,33630.193,205781355.908,217863999.239,226916363.791,239024695.101,242009780.11
Elementum Sem Limited,22335198868,34053.542,35075.861,35617.288,36591.009,36536.347,3046.64,3149.646,3215.09,3264.148,3290.414,27114.102,27757.618,28471.918,29428.951,29624.576,184207333.806,193825450.423,202648220.389,211089326.418,214518722.13
Elementum Sem Vitae Corporation,66941458060,33343.776,34595.454,34737.251,35881.384,35480.152,2951.026,3057.355,3132.076,3184.233,3216.44,26242.692,26966.975,27528.512,28591.394,28657.32,184224626.108,195070749.461,203328103.965,212870887.463,215583400.687
Elit A PC,18126169589,35117.498,36257.724,36442.9,38053.713,37547.915,3229.73,3338.651,3421.765,3474.585,3511.334,27934.955,28613.68,29082.334,30427.785,30448.005,190654404.609,201021123.054,209787197.315,220232683.352,223261483.088
Elit Aliquam Auctor PC,39759375662,35640.825,36617.944,36687.5,37011.636,36940.5,2713.541,2812.187,2865.769,2908.046,2950.342,27896.479,28466.62,29131.613,29877.21,30042.582,155419104.171,163706618.269,168844669.492,174694451.869,178661172.647
Elit Aliquam PC,70610974780,34944.075,35983.588,36440.1,37539.635,37243.535,3103.555,3210.234,3282.408,3337.107,3371.824,27655.004,28325.818,29100.119,30116.434,30182.047,185907702.111,196030041.459,204619733.23,214001547.432,217509563.426
Elit Associates,94662990903,34195.465,35180.934,35675.409,36928.91,37162.762,2969.267,3086.627,3164.013,3214.237,3245.527,27664.779,28377.92,29076.988,30212.162,30294.774,166063200.949,176445490.501,185256384.321,193756843.838,198068942.96
Elit Company,94780037589,34724.917,35731.34,36179.796,37013.395,36998.717,2999.645,3102.608,3170.916,3227.013,3262.715,27840.875,28453.184,29219.116,30129.847,30397.813,174937483.141,184728242.036,191908804.28,200374375.157,204462173.648
Elit Consulting,41424526968,34367.047,35432.495,35799.3,36817.163,36668.746,3051.065,3154.276,3224.866,3279.413,3310.766,27152.481,27795.606,28534.735,29554.435,29704.292,182129321.246,191952020.933,199643324.86,209305820.515,213145449.211
Elit Corp.,79517819732,35412.413,36560.799,36865.189,38523.497,37843.668,3065.261,3181.548,3254.072,3314.722,3354.698,28184.922,28878.238,29540.294,30857.562,30609.689,182879370.706,193611182.471,201827023.823,213064427.419,216123052.599
Elit Corporation,70498641647,31710.76,32511.944,33755.056,35151.406,34191.806,2859.074,2979.694,3025.418,3078.644,3094.479,25271.207,25865.42,27173.763,28163.226,27625.004,164534915.526,174721263.366,184502051.397,193834684.935,194380423.154
Elit Curabitur Institute,56779111060,34428.509,35323.873,35886.42,36921.186,36547.88,3053.731,3146.247,3209.111,3255.333,3288.021,27171.11,27817.676,28602.472,29564.345,29613.99,185289058.828,193728883.761,201723994.868,210826439.28,213478831.398
Elit Curabitur LLP,99785979138,45667.593,45402.507,40046.051,37509.174,31933.763,2350.466,2473.003,2556.588,2546.76,2513.055,32754.809,33228.957,31702.537,32317.198,30727.753,137387391.587,145376610.09,139595585.96,134755628.321,121929360.401
Elit Curabitur Sed PC,77924688488,35034.911,36135.291,36493.073,37872.491,37379.721,2989.809,3093.384,3166.012,3221.461,3256.83,27653.373,28348.517,29004.554,30188.801,30107.639,181606074.137,191797688.238,200029198.231,209993545.194,212810218.058
Elit Dictum Eu Corp.,25069678029,35260.166,36289.277,36812.914,37769.41,37742.383,3172.419,3285.486,3358.327,3414.752,3452.707,28022.059,28724.901,29521.566,30481.955,30702.696,189979928.964,200101045.797,208964615.192,217907055.402,222506834.529
Elit Dictum Eu Ltd,99938978285,34695.727,35734.709,36197.023,37308.468,37065.025,3089.441,3192.558,3263.129,3316.551,3349.413,27480.646,28161.264,28924.782,29948.907,30046.699,184555492.76,194470485.739,202863535.829,212073610.053,215663346.811
Elit Elit Associates,54024111976,37018.457,37838.701,38141.501,39244.476,39418.208,3272.196,3372.635,3443.186,3494.311,3530.004,29337.844,29861.398,30500.018,31603.445,31945.005,199599787.519,208557337.356,217247168.965,226213015.5,231327310.726
Elit Elit Fermentum Foundation,38523766800,20655.568,20695.327,21193.448,21806.731,22340.016,1988.093,2078.51,2127.285,2181.748,2205.221,16585.905,16767.859,17167.199,17616.951,17996.427,120071580.446,125649476.97,132147903.351,139912196.566,144878278.858
Elit Elit Fermentum Limited,66858882701,33965.645,35028.971,35405.644,36564.925,36250.833,2996.347,3103.489,3175.566,3231.622,3268.416,27061.683,27757.602,28494.051,29552.628,29604.365,175553914.129,185177319.132,193245264.282,202441235.583,205596820.45
Elit Elit Institute,14583462783,35290.981,36295.438,36708.535,37742.674,37614.191,3165.485,3275.881,3349.099,3405.219,3437.308,28028.704,28678.992,29417.416,30422.408,30528.184,187744216.773,197748497.378,206225477.851,215532938.209,219381439.878
Elit Elit PC,96809815920,33895.772,35041.601,35386.914,36499.224,36740.394,3717.287,3790.919,3890.216,3967.381,4017.951,25976.718,26647.852,27171.458,28037.698,28250.714,237249648.111,248138335.788,257675704.531,270389726.622,275356074.596
Elit Erat Ltd,15010840269,29794.781,30477.819,30617.938,30942.739,31669.295,2851.705,2978.245,3083.726,3177.055,3249.762,24644.076,25332.003,25712.977,26493.992,27105.976,141791055.177,151457415.73,158046021.705,165625641.508,173174591.403
Elit Etiam Corp.,25939878512,36188.789,37026.896,37280.479,38589.782,38082.015,3235.118,3336.178,3401.421,3452.301,3483.538,28412.19,28975.689,29696.567,30899.741,30908.128,202346130.933,211909838.257,221158928.731,230522400.869,233863415.09
Elit Etiam Laoreet Foundation,65134002757,35463.809,36418.613,36900.656,38040.872,37655.358,3122.008,3234.552,3306.902,3363.359,3399.497,28018.581,28648.697,29416.68,30458.435,30505.59,187848695.161,197933886.881,206646575.672,216152024.384,219724099.259
Elit Fermentum Inc.,42226247639,35442.835,36477.859,37052.97,38130.058,37779.169,3144.895,3257.739,3328.417,3382.625,3422.693,27991.542,28629.052,29469.301,30481.22,30522.108,189293519.588,200005279.952,208607265.797,217853672.887,221462981.332
Elit Fermentum Risus Incorporated,92437353435,34668.274,35654.778,36366.313,37521.596,37605.675,3242.03,3351.829,3416.656,3472.977,3511.258,27331.175,27867.648,28885.48,29945.858,30053.021,196454575.42,206966987.662,215849740.431,225860791.97,230905497.082
Elit Incorporated,89029397913,37017.541,38050.222,38301.509,39997.265,39177.972,2958.687,3065.498,3134.62,3172.459,3197.79,28674.639,29437.064,30083.623,31246.306,31306.213,183481638.541,194244266.477,202122045.078,211451095.521,211309101.217
Elit Institute,25824799381,34449.844,35350.596,35779.805,36976.029,36765.077,3084.197,3190.448,3262.379,3317.979,3353.458,27330.896,27964.978,28680.149,29741.686,29811.91,182057581.783,191711136.223,200176588.443,209774437.402,213500238.308
Elit LLC,24155164444,35590.604,36517.781,37181.796,37808.815,38688.676,3998.474,4138.219,4232.665,4295.67,4337.74,26689.488,27261.656,28100.393,28836.501,29465.974,268757003.012,283996500.936,297369495.458,309172338.192,318485036.183
Elit LLP,42461534060,22615.742,24174.422,23649.204,22327.45,22080.694,2183.302,2065.302,1959.949,1957.115,1959.102,18280.419,20084.478,20830.473,20210.361,20742.427,98686505.215,99821648.584,92682871.281,87374590.789,86497928.763
Elit Limited,55403018592,42191.5,44308.0,46493.5,42712.5,42215.5,1556.5,1625.0,1669.5,1657.5,1695.5,34114.0,35742.0,37391.5,35849.0,35058.0,67263382.5,73946627.0,79789808.5,71293781.5,71504355.0
Elit PC,28275269638,20133.781,20741.302,21555.107,21994.126,22068.277,3043.988,3089.2,3046.996,3090.76,3126.218,16571.551,16599.267,17752.021,18169.963,18450.769,144094025.398,151066607.155,154713731.172,161219039.48,164814925.65
Elit Pede Industries,83930795096,35117.727,36043.069,36702.037,37929.775,37677.755,3138.4,3253.681,3332.12,3394.3,3431.447,27445.39,28094.093,28915.373,29974.185,29996.084,194815726.248,205270994.831,215283824.928,225803081.029,229687907.864
Elit Pede Malesuada Industries,48817595168,35644.136,36916.199,36774.756,37935.493,37720.702,3417.807,3548.663,3638.848,3700.098,3742.826,28651.566,29520.115,30217.852,31382.33,31691.699,188040425.687,201213490.868,209783719.441,219318940.267,224118098.465
Elit Pellentesque Inc.,72177236569,34049.372,35034.345,35457.837,36622.131,36223.323,2963.243,3067.055,3135.508,3188.527,3220.742,27049.3,27697.552,28440.706,29502.792,29479.211,175507977.06,185200775.643,193351816.288,202404243.685,205489242.204
Elit Pellentesque Ltd,40038882257,34789.212,35726.283,36172.947,37341.562,36975.149,3093.306,3193.057,3263.692,3318.114,3355.036,27588.96,28239.938,29017.104,30010.89,30046.536,183755380.161,193028830.52,200929606.215,210026768.724,213497001.679
Elit Pellentesque PC,90087872851,34567.656,35594.206,36040.11,37120.402,36821.933,3068.813,3175.195,3246.995,3302.413,3337.759,27436.341,28102.066,28864.649,29891.245,29945.727,181699353.511,191710179.959,200056557.103,209356779.954,212916753.878
Elit Pharetra Corporation,69655310165,38402.476,39796.01,40087.541,40985.68,40569.55,3263.434,3374.453,3454.674,3507.797,3550.578,30487.589,31278.397,32044.012,33100.133,33046.406,192462939.328,203951809.762,212302452.061,220712260.515,225829007.249
Elit Pharetra Incorporated,63948574402,31166.05,31541.627,31857.427,32791.18,32862.041,2720.102,2824.709,2922.033,2987.051,3033.698,24088.323,24244.852,24832.88,25634.782,25708.682,171877071.947,178734255.754,187053114.648,197403872.987,203824440.842
Elit Pharetra LLP,70737217173,34708.631,35679.466,35846.316,36820.663,36419.648,3135.282,3259.475,3341.059,3403.077,3441.365,27479.859,28139.974,28792.369,29822.589,29910.105,185958873.268,196872061.045,204843627.645,214418222.577,218357968.722
Elit Pharetra PC,61728854460,33769.73,34190.194,35128.067,36249.009,36738.053,3288.465,3433.29,3533.064,3627.299,3676.55,26726.934,27181.955,28368.68,29411.62,29760.146,193214792.287,204219283.754,216695995.865,228762792.669,237060995.231
Elit Pretium Et Foundation,40938677569,34604.564,35580.041,36094.079,37095.672,36831.984,3117.264,3220.202,3290.468,3343.583,3377.791,27406.594,28021.655,28812.539,29767.834,29877.245,190004265.19,199710826.141,208457156.099,217793412.491,221006739.609
Elit Pretium Industries,28034382339,30001.668,31019.929,30116.493,29548.945,30056.787,3220.221,3330.49,3391.413,3439.085,3493.699,24455.017,25233.237,25215.751,25789.667,25831.824,183302853.259,192828665.099,194692530.07,197651038.503,204840924.035
Elit Pretium Limited,16796167828,33521.562,34217.331,34806.33,35193.323,35153.49,3056.717,3193.237,3288.16,3366.445,3398.567,26000.46,26519.754,27358.358,27860.701,28193.67,180531381.446,190988367.062,200393648.288,210596980.718,214058001.528
Elit Sed Consequat Associates,40515428545,34322.108,35333.948,35849.281,36891.988,36671.412,3071.929,3175.897,3246.136,3299.671,3333.546,27197.031,27850.559,28641.073,29628.907,29728.441,183262336.017,193187334.265,201788452.856,210853885.461,214525660.805
Elit Sed Consequat LLC,88795682549,34890.854,35878.046,36373.373,37480.031,37076.635,3211.85,3315.969,3388.132,3444.306,3479.991,27557.157,28238.607,29062.644,30070.937,30084.49,193181315.364,203240624.931,211732026.427,221565912.859,224989617.154
Enim Commodo Associates,98202651678,36002.817,36860.479,37327.181,38357.864,37976.308,3123.669,3233.675,3307.131,3360.214,3395.384,28457.652,29014.491,29767.499,30822.958,30811.889,186628938.152,196071623.844,204813243.667,213848224.858,217284498.931
Enim Commodo Inc.,31245723081,34280.541,35581.235,35835.401,37231.761,36334.265,3044.166,3159.985,3229.515,3284.345,3316.826,27424.45,28264.845,28979.647,30184.467,29955.958,169804841.264,180671796.113,188022780.284,197494376.282,199155904.503
Enim Company,31595398112,32806.017,33359.56,33203.045,32869.15,32048.404,2650.201,2718.914,2798.521,2834.094,2867.147,25271.731,25834.575,26403.308,26765.142,26632.536,156563438.258,163084791.544,169636810.159,172745983.428,174793885.218
Enim Condimentum Inc.,31169432936,34503.68,35434.876,36009.085,36996.068,36765.106,3117.702,3227.753,3301.597,3355.907,3387.614,27270.046,27877.008,28675.962,29647.307,29726.432,187156984.711,197264010.194,206233515.745,215501392.74,219004535.359
Enim Condimentum PC,10192359162,34050.175,34967.792,35559.1,36634.708,36462.347,3156.608,3257.696,3324.065,3382.605,3406.933,27024.365,27662.049,28399.001,29431.399,29540.109,193066525.764,202243621.938,211157351.386,221328017.897,224641992.177
Enim Consequat Corporation,48883076820,32242.621,33261.901,33155.393,34840.081,33760.963,2779.978,2882.958,2949.938,3004.595,3038.494,24569.21,25381.152,25644.643,27208.841,26685.66,175286439.816,185857612.478,192195183.948,202183347.394,202733051.621
Enim Consequat Inc.,20734004951,33793.527,34667.89,35295.557,36259.824,36040.32,3107.901,3219.464,3293.146,3350.388,3388.829,26721.458,27336.463,28198.165,29137.107,29195.764,186324687.733,196046596.596,204962838.605,214311749.017,218096481.431
Enim Consequat Institute,10618089367,34767.602,35700.855,36197.276,37322.281,37128.612,3139.685,3245.93,3315.667,3371.055,3405.173,27529.742,28166.592,28965.843,30017.887,30141.645,188764710.922,198646443.515,207516339.593,217033191.669,220837569.589
Enim Corp.,47830349274,34021.51,34845.539,35463.039,36394.643,36210.489,3033.807,3132.051,3198.825,3250.741,3285.634,26646.86,27206.881,28008.203,28929.734,29050.185,186901920.934,196129380.945,205781508.013,214318920.102,218001499.542
Enim Corporation,74247444320,25572.269,25983.641,26865.264,27657.354,28042.617,3150.35,3229.671,3328.209,3404.116,3462.368,21104.168,21691.727,22498.414,23141.704,23486.778,175096128.188,181731011.754,192742736.051,202686100.782,209165032.692
Enim Curabitur Massa Foundation,55562579755,35329.298,36300.527,36818.733,37862.447,37681.744,3253.256,3371.542,3455.419,3521.035,3563.279,27912.086,28495.005,29273.525,30276.408,30338.584,193494628.499,203968856.844,213395701.297,223403449.243,227789679.553
Enim Diam Associates,31770481079,35500.386,36163.456,36646.662,38310.901,37927.875,2510.786,2587.437,2647.219,2683.383,2714.115,27181.584,27884.265,28403.669,29578.503,29763.284,151216969.378,158026299.055,164168525.189,174035302.76,174760485.422
Enim Diam Corporation,98162727883,34755.559,35510.633,36145.23,37389.285,36711.647,3253.215,3376.955,3451.516,3508.274,3539.393,27435.865,28017.824,28816.462,29943.449,29820.311,194861213.806,205134615.686,214624275.469,224455613.809,227173880.246
Enim Diam Vel Foundation,46389689213,35050.055,36153.933,36538.876,37307.671,37101.873,2970.091,3062.668,3121.536,3163.134,3194.184,27737.976,28433.251,29167.665,30097.654,30214.772,179797133.712,189030481.461,197018310.766,204185387.979,207354823.231
Enim Diam Vel Industries,13086571368,35655.327,36614.039,37297.237,38489.793,38398.569,3122.535,3222.88,3287.143,3337.688,3373.603,28327.566,28904.168,29879.077,30984.571,31040.209,186600746.101,196210562.532,204931693.432,214465734.811,218665616.579
Enim Etiam Gravida PC,32656335530,34866.616,35869.815,36355.252,37434.593,37057.871,3102.049,3207.922,3279.822,3334.053,3368.762,27606.867,28290.769,29064.515,30086.693,30117.009,185118395.576,194999454.375,203797991.448,213019235.835,216458388.244
Enim Etiam Imperdiet Limited,57021295485,34443.595,35444.293,36026.541,37067.905,36940.339,3166.435,3276.954,3352.505,3410.179,3446.638,27341.485,28027.826,28837.244,29834.202,29974.252,187740262.926,198019120.425,207185744.64,216715463.348,220866308.673
Enim Etiam Industries,88547577701,34833.829,35868.504,36353.969,37383.743,37155.742,3121.474,3231.075,3304.853,3361.721,3397.871,27656.36,28318.058,29104.689,30104.683,30193.596,186211524.172,196523437.395,205207808.546,214585949.99,218398371.732
Enim Etiam Institute,73973714129,35428.177,36370.963,36665.307,37965.42,37416.717,2876.348,2970.164,3030.974,3075.759,3111.194,27782.098,28214.595,28961.759,30161.031,30150.255,172066741.297,180622445.08,185844848.751,194226736.71,196807899.621
Enim Etiam PC,17124978176,33971.68,34925.917,35106.553,36300.593,36174.894,2987.131,3090.691,3160.251,3217.672,3257.259,27045.571,27674.547,28263.994,29349.822,29493.822,176097121.228,185595590.256,192932177.152,202375323.519,206757620.547
Enim Gravida Inc.,83173175334,22838.318,23560.933,22992.738,22360.597,23816.89,2222.703,2338.855,2395.078,2470.187,2526.974,18925.894,19161.982,19296.057,19501.546,20046.889,133099686.311,139468658.377,142571004.427,146704603.868,155995194.852
Enim Gravida Ltd,19946380099,31461.865,32806.45,33490.214,34108.079,34261.236,3010.834,3123.442,3194.012,3247.543,3284.665,24930.111,25808.872,26670.137,27477.217,27758.342,174285484.823,185543525.816,194278595.533,201918639.459,206240517.729
Enim Gravida Sit Incorporated,49839448838,35071.167,36125.934,36626.397,37683.165,37405.967,3099.441,3205.997,3277.228,3332.268,3366.045,27854.261,28529.468,29337.997,30363.188,30434.006,184209197.25,194285414.473,202911202.285,212236493.124,215918414.774
Enim Inc.,47773139983,37683.767,38564.246,38860.752,39770.436,39588.767,3174.342,3284.108,3351.05,3404.787,3442.224,29218.559,29753.58,30498.438,31563.095,31743.72,195066417.288,204426546.417,212090208.231,220725417.856,224545148.702
Enim Industries,87070619541,33937.23,34280.724,34766.602,36271.796,34847.065,2898.611,3007.109,3043.848,3095.363,3117.112,27335.472,27768.074,28400.955,29595.406,29251.705,164469045.39,171568309.321,177691197.349,186381766.664,185696458.303
Enim Institute,16143938351,32618.264,33077.384,32388.421,32983.869,32663.022,2534.736,2633.094,2699.705,2756.925,2806.619,25937.675,26366.75,26426.519,27481.952,27566.144,151318384.36,157171897.689,161949858.102,168340142.613,174143569.241
Enim LLP,27518736748,38448.204,40029.611,40572.618,41063.878,42362.278,1998.745,2064.115,2131.282,2168.894,2196.194,30883.755,31885.259,33217.111,34185.494,35223.359,105356137.648,111987285.605,118195033.629,122600579.323,128235217.905
Enim Ltd,27504885147,34693.402,35714.81,36136.911,37135.919,36962.235,3118.883,3226.956,3299.98,3354.452,3391.044,27541.408,28224.398,28977.409,29983.026,30114.608,185233749.914,195302844.932,203995798.498,213018595.176,216951374.597
Enim Mauris Inc.,37358528402,31347.539,33382.827,32048.987,33486.76,32369.525,2418.378,2503.893,2570.719,2616.282,2637.581,24901.988,25907.166,26055.043,27145.519,27128.131,134528868.365,145630380.214,146919522.563,156018517.819,155004239.96
Enim Mauris Quis Incorporated,83421534972,33143.799,33779.328,34422.742,35050.612,35630.731,3267.016,3390.717,3488.646,3559.931,3597.869,26516.052,26980.12,27746.736,28554.122,28917.963,191977596.878,201131826.686,211461239.314,220454645.068,226728550.849
Enim Mi Corp.,47864961615,31873.907,33247.576,32893.257,31999.153,31956.194,2925.874,3088.436,3176.978,3224.813,3219.767,25852.896,27185.868,28020.52,28107.982,28499.208,194648377.672,215318766.844,224216328.786,231429583.829,236711440.952
Enim Mi Institute,60061691817,34544.494,35545.135,36068.382,37072.475,36832.126,3073.539,3182.782,3256.549,3313.412,3351.954,27500.0,28152.558,28990.02,29978.596,30067.094,180978280.149,191007810.687,199496139.572,208612250.698,212409200.687
Enim Mi LLC,97353800246,35293.053,36539.385,37032.487,38080.827,37766.981,3179.569,3282.04,3356.81,3408.5,3439.904,27858.545,28757.791,29449.195,30398.949,30541.323,189230095.589,199915550.738,208998630.845,218377950.28,221574208.717
Enim Mi Limited,21156812402,35296.515,36326.038,36619.33,38026.973,37712.058,3255.722,3371.1,3444.494,3500.098,3546.19,27707.993,28509.756,29003.183,30213.632,30109.444,197003225.868,207723834.438,215957317.658,226509351.502,231294351.975
Enim Mi Ltd,67797658023,34825.509,35840.837,36230.01,37267.725,37050.911,3094.163,3200.397,3272.686,3328.334,3364.212,27596.685,28262.184,29001.273,30022.08,30115.337,184191775.061,194105710.341,202557898.819,211696530.812,215548091.332
Enim Mi Tempor Associates,71169969325,34642.511,35684.728,36137.992,37418.545,36875.915,3044.224,3152.264,3221.663,3277.957,3311.965,27411.05,28074.435,28865.903,29986.28,29874.219,184625474.209,195067408.172,203324397.719,213400758.724,216360442.239
Enim Nec Tempus Corporation,16394504716,33898.539,35011.971,35452.772,36322.495,36181.15,3011.702,3118.288,3190.253,3244.542,3281.241,26965.068,27673.652,28450.37,29370.686,29525.263,176842946.427,186856595.605,194994383.088,203493023.277,207377756.879
Enim Nec Tempus Institute,24043105437,34754.102,35759.584,36222.299,37311.312,37072.69,3136.215,3241.518,3313.876,3368.854,3406.136,27422.101,28080.134,28819.571,29850.937,29932.51,188610284.219,198607404.86,207247658.363,216618068.253,220458960.095
Enim Nisl Elementum Corp.,76482197253,34480.636,35494.019,35900.875,36943.167,36626.23,3060.318,3175.513,3250.881,3306.393,3338.823,27409.432,28054.299,28801.593,29805.64,29908.966,183498392.352,194095648.346,202757652.015,211955726.81,215142136.868
Enim Non Foundation,16629601490,33599.289,34582.214,35000.469,36106.831,35542.753,3034.674,3141.616,3210.704,3263.512,3291.649,26922.839,27534.83,28345.34,29366.443,29299.129,176862211.848,186206266.01,194262622.819,203216435.783,205611980.982
Enim Non Inc.,57984259689,34001.636,35135.483,35546.988,36518.681,36329.853,3052.651,3162.656,3236.368,3288.74,3319.51,27214.321,27847.235,28606.036,29593.197,29698.652,176873925.838,187498970.452,195644049.21,204355389.238,207720542.68
Enim Non LLC,84937597269,35113.37,36215.103,36953.222,37796.144,37690.576,3355.141,3475.198,3559.853,3629.244,3667.721,27885.685,28557.225,29481.937,30324.979,30444.226,203229625.448,214224655.535,224746304.068,235142290.116,239562878.638
Enim Non LLP,22575615382,34499.443,35536.944,35871.023,36696.004,36430.581,3324.884,3425.521,3501.236,3550.478,3587.664,27203.321,27782.999,28526.332,29465.37,29597.717,204757484.978,215425299.172,225628098.079,234678401.13,239271261.0
Enim Non Nisi Corporation,56796971172,34353.463,35329.518,35895.554,36887.668,36747.709,3149.834,3260.501,3331.709,3388.726,3421.906,27310.037,27983.538,28760.056,29756.835,29910.376,189674400.936,199904790.647,209379093.684,218778978.234,222960102.113
Enim PC,58825561585,35162.34,36351.142,36823.006,37768.064,37598.006,3094.762,3199.866,3273.823,3328.515,3360.381,27814.82,28620.057,29442.161,30453.11,30558.618,186589683.647,196680502.43,205431269.284,214407064.541,218239881.96
Enim Sed Corp.,66499078575,35794.472,36854.637,36972.218,38460.534,38293.859,2601.555,2668.311,2716.721,2753.924,2784.513,28540.073,29397.693,30022.226,31043.86,31353.907,157452270.998,163807108.774,168952414.397,178310892.444,179344510.677
Enim Sed Ltd,45461747256,32236.512,32821.852,33596.588,34195.664,34022.178,2950.818,3061.663,3134.501,3192.319,3231.711,25838.832,26396.732,27377.194,28263.628,28273.626,170549471.94,178597877.905,187246970.644,195801180.19,201666313.711
