name,merchant_abn,revenue_level,take_rate,industry_tags,MappedIndustry
Ac Fermentum LLP,24094430920,a,6.65,computer programming data processing integrated systems design,C
Amet Metus Aliquam Industries,24102148742,b,4.24,equipment tool furniture appliance rent al leasing,S
Ut Pellentesque Eget Inc.,24120162361,a,5.99,artist supply craft,E
Et Eros Inc.,24123600795,c,1.99,stationery office printing writing paper,D
Libero Est LLP,24131662787,c,2.48,artist supply craft,E
Turpis Nulla Institute,24147681440,b,3.44,health beauty spas,N
Elit LLC,24155164444,a,5.91,health beauty spas,N
Libero Industries,24164521701,a,5.73,music musical instruments pianos sheet music,M
Nunc Sollicitudin LLP,24174334793,c,2.2,antique repairs restoration,R
Est Congue Institute,24179472533,a,5.65,bicycle,Y
Consectetuer Industries,24212300522,b,4.04,jewelry watch clock silverware,A
Vulputate Velit Eu Incorporated,24245553756,b,4.76,health beauty spas,N
Non Inc.,24264927934,b,3.86,computer programming data processing integrated systems design,C
Ipsum Corporation,24302923489,a,6.94,cable satellite pay television radio,K
Metus Ltd,24314208971,a,5.73,computer programming data processing integrated systems design,C
At Pede Cras Corp.,24351356445,a,6.39,computer programming data processing integrated systems design,C
Curabitur Ut Industries,24378910810,b,3.18,opticians optical goods eyeglasses,I
Ligula Consectetuer Rhoncus Limited,24451148103,b,4.37,books periodicals newspapers,G
Cursus Limited,24462154202,a,6.69,hobby toy game,O
Enim Suspendisse Aliquet LLP,24471518053,a,6.42,furniture home furnishings equipment manufacturers except appliances,T
Penatibus Limited,24526454463,c,2.95,jewelry watch clock silverware,A
Et Rutrum Foundation,24598653065,c,2.17,cable satellite pay television radio,K
Et Euismod Et Limited,24627889739,b,4.78,computers computer peripheral equipment software,J
Augue Ltd,24674067743,c,3.06,jewelry watch clock silverware,A
Ipsum Suspendisse Foundation,24683655751,a,6.64,health beauty spas,N
Nulla Integer Vulputate PC,24701944105,b,4.97,computers computer peripheral equipment software,J
Auctor Limited,24715277505,a,6.47,gift card novelty souvenir,P
Congue A Aliquet LLC,24724058205,b,4.07,music musical instruments pianos sheet music,M
Commodo Auctor PC,24746574507,a,6.34,cable satellite pay television radio,K
Ac Metus Corporation,24769745549,a,5.95,gift card novelty souvenir,P
Fames Ac Turpis Ltd,24830778398,a,6.5,tent awning,X
Odio Phasellus Industries,24848244496,a,6.56,furniture home furnishings equipment manufacturers except appliances,T
Erat Vitae LLP,24852446429,c,2.94,florists nursery stock flowers,U
Consequat Nec Corporation,24938000144,b,4.17,watch clock jewelry repair,V
Vulputate Posuere Industries,24952685426,a,6.84,computer programming data processing integrated systems design,C
Duis Dignissim Institute,24976666868,a,5.76,hobby toy game,O
Hendrerit A Arcu Foundation,24989367414,a,6.67,music musical instruments pianos sheet music,M
Est Ac Facilisis Company,24992522061,a,6.05,lawn garden supply outlets including nurseries,W
Ac Foundation,24993385051,c,1.96,music musical instruments pianos sheet music,M
Proin Vel Inc.,25019506172,e,0.16,stationery office printing writing paper,D
Pharetra Nam Ac Limited,25027599663,c,2.28,digital goods books movies music,F
Cursus Diam Associates,25035618251,a,6.97,lawn garden supply outlets including nurseries,W
Elit Dictum Eu Corp.,25069678029,c,2.0,health beauty spas,N
Vel LLP,25078409316,a,6.6,florists nursery stock flowers,U
Interdum Libero Dui Foundation,25083358415,b,3.15,stationery office printing writing paper,D
Pretium Et Rutrum Limited,25083422701,a,6.96,music musical instruments pianos sheet music,M
Gravida Sagittis Limited,25103945596,b,4.41,computer programming data processing integrated systems design,C
A Tortor LLP,25117003509,b,3.33,hobby toy game,O
Etiam Bibendum Limited,25125950126,c,2.9,bicycle,Y
Metus Vivamus LLP,25166307673,b,4.84,furniture home furnishings equipment manufacturers except appliances,T
Nec Cursus Corporation,25176526221,a,6.27,health beauty spas,N
Eu Enim Consulting,25176815949,d,0.56,artist supply craft,E
Sed Nunc Limited,25219450983,c,2.48,tent awning,X
Quisque Nonummy Ltd,25228131129,b,4.5,telecom,Q
Pellentesque Tellus Associates,25235376304,c,2.86,lawn garden supply outlets including nurseries,W
Enim Sit Amet Industries,25245001422,b,3.81,hobby toy game,O
Lacus Vestibulum Foundation,25273270711,a,5.55,motor vehicle new parts,H
Penatibus Et Ltd,25349409223,b,4.57,opticians optical goods eyeglasses,I
Quis Associates,25365595519,a,5.57,bicycle,Y
Eu Tempor LLP,25370771356,a,6.26,lawn garden supply outlets including nurseries,W
Quam Curabitur Consulting,25407570137,a,5.57,health beauty spas,N
Hendrerit Consectetuer LLP,25467145329,a,6.83,digital goods books movies music,F
Maecenas Iaculis Aliquet LLP,25487349674,b,4.08,stationery office printing writing paper,D
Ac Mattis Institute,25499263184,a,6.14,books periodicals newspapers,G
Eget Dictum Placerat Incorporated,25545080719,a,6.85,digital goods books movies music,F
Diam Sed Inc.,25607153542,d,0.78,computer programming data processing integrated systems design,C
Blandit Mattis PC,25619276404,c,3.07,computers computer peripheral equipment software,J
Amet Corp.,25624067782,b,5.02,telecom,Q
Ut Company,25627894706,a,6.85,computers computer peripheral equipment software,J
Magna Lorem Institute,25628686447,a,6.52,furniture home furnishings equipment manufacturers except appliances,T
Cras Interdum LLC,25644665418,a,5.67,artist supply craft,E
Venenatis Lacus Etiam Incorporated,25674631453,c,2.56,opticians optical goods eyeglasses,I
Odio Aliquam Corp.,25704682559,c,2.85,stationery office printing writing paper,D
Nonummy Ltd,25706310514,c,2.51,books periodicals newspapers,G
Dui Associates,25707254891,c,2.19,jewelry watch clock silverware,A
Mi Aliquam Incorporated,25714080598,c,2.89,florists nursery stock flowers,U
Malesuada Vel Associates,25732256442,a,5.79,books periodicals newspapers,G
Congue Elit LLC,25737175575,a,5.67,art dealers galleries,L
Quis Pede Institute,25762836422,a,6.11,cable satellite pay television radio,K
Lectus Pede Limited,25781502446,b,3.55,antique repairs restoration,R
Lacus Cras Interdum Corporation,25794433887,b,4.54,hobby toy game,O
Nunc Est Foundation,25819356184,a,6.2,artist supply craft,E
Elit Institute,25824799381,b,4.5,opticians optical goods eyeglasses,I
Feugiat Placerat Corporation,25846871943,c,2.49,shoe,B
Cubilia Curae Phasellus Corporation,25856363362,b,3.27,music musical instruments pianos sheet music,M
Lorem Ipsum LLP,25867961009,c,2.02,digital goods books movies music,F
Vitae Erat Vivamus Corp.,25876985396,b,4.19,stationery office printing writing paper,D
Sit Corp.,25880142934,a,5.94,bicycle,Y
Lorem Auctor Ltd,25884436429,a,6.73,motor vehicle new parts,H
Eu Odio Inc.,25902222415,b,4.9,hobby toy game,O
Elementum Dui Quis Ltd,25938405651,a,5.52,lawn garden supply outlets including nurseries,W
Elit Etiam Corp.,25939878512,a,6.15,watch clock jewelry repair,V
Vitae Foundation,25963848680,a,6.86,opticians optical goods eyeglasses,I
Dui Cras Pellentesque Incorporated,25971755977,a,6.67,music musical instruments pianos sheet music,M
Massa Suspendisse Inc.,26001500989,a,6.95,music musical instruments pianos sheet music,M
Nulla Aliquet LLP,26008308191,b,3.37,books periodicals newspapers,G
Felis Donec Limited,26025787253,a,6.55,furniture home furnishings equipment manufacturers except appliances,T
In Scelerisque Corp.,26045642664,a,6.28,music musical instruments pianos sheet music,M
Amet Risus Associates,26062881399,b,4.25,furniture home furnishings equipment manufacturers except appliances,T
Dictum Eu Institute,26063968667,a,6.6,florists nursery stock flowers,U
Fermentum Convallis Incorporated,26077736972,b,4.5,computers computer peripheral equipment software,J
Auctor Odio Incorporated,26080015717,a,5.66,equipment tool furniture appliance rent al leasing,S
Volutpat Nulla Incorporated,26148653604,a,6.59,furniture home furnishings equipment manufacturers except appliances,T
Dolor Dolor Industries,26169574842,a,6.58,books periodicals newspapers,G
Ultrices Vivamus Industries,26218617714,a,6.72,artist supply craft,E
Aliquet Vel Industries,26259500279,c,1.51,books periodicals newspapers,G
Aliquam Fringilla Foundation,26267439458,c,2.75,furniture home furnishings equipment manufacturers except appliances,T
Ultrices Duis PC,26341565445,a,5.89,health beauty spas,N
Leo Elementum Sem LLC,26358864089,b,4.2,stationery office printing writing paper,D
Fusce PC,26413484487,b,4.92,lawn garden supply outlets including nurseries,W
Donec Limited,26445720989,b,4.28,opticians optical goods eyeglasses,I
Volutpat Ornare LLC,26465868807,b,3.63,bicycle,Y
A Purus Duis Consulting,26482181417,b,3.14,computers computer peripheral equipment software,J
Amet Orci Ut Associates,26492290179,b,4.62,furniture home furnishings equipment manufacturers except appliances,T
Ac Feugiat Non Consulting,26500650326,b,4.91,computers computer peripheral equipment software,J
Varius Ultrices LLC,26505333735,b,4.4,books periodicals newspapers,G
Et Nunc Institute,26510188921,c,2.85,florists nursery stock flowers,U
Senectus Et Corp.,26539386750,b,4.73,books periodicals newspapers,G
Convallis Foundation,26551094436,a,5.97,digital goods books movies music,F
Vel Est Tempor Associates,26556866679,b,4.26,furniture home furnishings equipment manufacturers except appliances,T
Dictum Limited,26569358936,a,6.54,artist supply craft,E
Neque Company,26599529197,b,3.91,digital goods books movies music,F
Phasellus In LLP,26603390734,a,5.91,music musical instruments pianos sheet music,M
Risus Foundation,26643842396,c,2.73,cable satellite pay television radio,K
Mi Fringilla Ltd,26671932360,b,5.07,hobby toy game,O
Est Ac Limited,26710073457,b,3.19,music musical instruments pianos sheet music,M
Neque Tellus Incorporated,26749181046,b,3.34,watch clock jewelry repair,V
Congue In Corp.,26763947687,b,3.27,telecom,Q
Donec Tincidunt LLP,26788127465,b,3.44,art dealers galleries,L
In Ltd,26793253394,c,2.36,jewelry watch clock silverware,A
Donec Tempor Est Incorporated,26821904622,b,3.39,books periodicals newspapers,G
Ac Company,26824240795,b,5.01,cable satellite pay television radio,K
Arcu Ac Inc.,26844395593,a,5.77,music musical instruments pianos sheet music,M
Sem Ut Inc.,26895812037,a,6.82,digital goods books movies music,F
Vehicula Pellentesque Limited,26925196872,a,6.91,gift card novelty souvenir,P
Mauris Institute,26942003693,b,3.78,music musical instruments pianos sheet music,M
Nisi Magna Inc.,26945243832,b,3.71,watch clock jewelry repair,V
Molestie Sodales Associates,26945291705,a,6.47,florists nursery stock flowers,U
Tellus Id Nunc Associates,26974881830,a,6.03,cable satellite pay television radio,K
Morbi Associates,26994239326,a,5.51,watch clock jewelry repair,V
Arcu Industries,27014190836,c,1.62,art dealers galleries,L
Id Mollis Nec Corp.,27022400550,a,6.38,books periodicals newspapers,G
Purus Accumsan LLP,27047988248,a,6.14,watch clock jewelry repair,V
At Velit Pellentesque Limited,27086915609,b,4.04,motor vehicle new parts,H
Placerat Orci Institute,27093785141,c,2.73,stationery office printing writing paper,D
Vitae Aliquet Foundation,27094414625,b,4.8,gift card novelty souvenir,P
Cras Dictum Ltd,27099208477,a,6.43,health beauty spas,N
Leo Vivamus Associates,27109170541,b,4.23,opticians optical goods eyeglasses,I
Felis Nulla Tempor Institute,27110349542,b,3.23,stationery office printing writing paper,D
Imperdiet Corporation,27132352768,b,3.65,computers computer peripheral equipment software,J
Risus Donec LLC,27179144904,b,3.91,health beauty spas,N
Egestas Sed Pharetra Limited,27207000299,a,5.84,bicycle,Y
Malesuada Institute,27251742541,a,6.23,computers computer peripheral equipment software,J
Lectus Corporation,27274388856,a,5.56,florists nursery stock flowers,U
Pede Cum Institute,27288001271,b,3.29,artist supply craft,E
Tellus Aenean Corporation,27326652377,a,6.33,music musical instruments pianos sheet music,M
Parturient Montes Nascetur Incorporated,27332799149,c,2.4,watch clock jewelry repair,V
Porttitor Limited,27397535742,c,2.18,art dealers galleries,L
Feugiat Sed Inc.,27406636146,c,1.57,artist supply craft,E
Nam Ac Nulla LLP,27407519046,d,0.96,artist supply craft,E
Risus Varius Orci Associates,27440079026,c,2.53,artist supply craft,E
Dictum Magna Ut Foundation,27452194956,a,6.96,computer programming data processing integrated systems design,C
Ornare Facilisis Eget Foundation,27470466523,a,6.03,digital goods books movies music,F
Vitae Posuere Industries,27500085887,b,4.85,watch clock jewelry repair,V
Enim Ltd,27504885147,b,4.81,gift card novelty souvenir,P
Enim LLP,27518736748,c,2.85,art dealers galleries,L
Pharetra Ltd,27529271582,b,4.7,hobby toy game,O
Adipiscing Inc.,27573216953,a,6.82,tent awning,X
Pede Malesuada Company,27574779991,c,1.48,opticians optical goods eyeglasses,I
Gravida Praesent Incorporated,27580593799,c,1.58,bicycle,Y
Magna Et Institute,27581734019,b,4.46,florists nursery stock flowers,U
Dolor Dolor Limited,27585113425,a,6.8,antique repairs restoration,R
Nibh Phasellus Ltd,27610959380,a,6.15,artist supply craft,E
Placerat Eget LLP,27639240514,c,2.03,artist supply craft,E
Elementum Purus Foundation,27657048362,c,2.61,opticians optical goods eyeglasses,I
Tortor Nibh Industries,27674806739,c,2.11,digital goods books movies music,F
Eu Neque Foundation,27801334668,c,2.77,music musical instruments pianos sheet music,M
Turpis Nulla Foundation,27851049264,c,1.56,art dealers galleries,L
Ut Ipsum LLC,27888724678,b,4.86,stationery office printing writing paper,D
Orci Ut Sagittis PC,27915232337,a,6.33,artist supply craft,E
Tempor Diam Dictum Industries,27975606844,a,5.99,computers computer peripheral equipment software,J
Sed Nunc Industries,28000487688,b,4.24,books periodicals newspapers,G
Et Magnis Corp.,28024035242,c,1.48,bicycle,Y
Elit Pretium Industries,28034382339,c,2.86,artist supply craft,E
Donec Elementum Foundation,28049322288,b,3.95,florists nursery stock flowers,U
Dignissim Lacus PC,28057731482,c,1.47,music musical instruments pianos sheet music,M
Felis Orci Company,28068880408,b,3.23,gift card novelty souvenir,P
Vehicula Risus Institute,28124275236,c,2.69,cable satellite pay television radio,K
Ullamcorper Nisl Corporation,28159278322,b,4.34,art dealers galleries,L
Nec Urna Industries,28175132063,a,6.53,digital goods books movies music,F
Ut Molestie Ltd,28208763477,c,2.04,watch clock jewelry repair,V
Nisi Foundation,28230498046,a,5.73,digital goods books movies music,F
Elit PC,28275269638,a,6.68,hobby toy game,O
Egestas Nunc Sed LLC,28311306642,b,4.93,antique repairs restoration,R
Ultricies Ornare LLP,28324185214,a,6.05,music musical instruments pianos sheet music,M
Libero Mauris Limited,28339332365,a,5.82,music musical instruments pianos sheet music,M
Malesuada Vel Ltd,28341499489,b,3.56,books periodicals newspapers,G
Vel Arcu Curabitur Inc.,28385291716,a,6.04,antique repairs restoration,R
Est Industries,28449116125,c,2.31,jewelry watch clock silverware,A
Rutrum Fusce LLC,28451419105,a,6.88,music musical instruments pianos sheet music,M
Amet Corporation,28464012306,a,6.51,computer programming data processing integrated systems design,C
Mauris Eu Elit Associates,28490495118,b,5.08,art dealers galleries,L
Consequat Corp.,28504709344,e,0.47,shoe,B
Quam Curabitur Corporation,28510201393,c,1.86,bicycle,Y
Pede Blandit LLP,28517327395,e,0.47,books periodicals newspapers,G
Sodales Purus Incorporated,28537603098,c,2.75,motor vehicle new parts,H
Gravida Sit Foundation,28555022437,a,6.54,music musical instruments pianos sheet music,M
Eu Augue Ltd,28556213345,b,4.8,furniture home furnishings equipment manufacturers except appliances,T
Aliquam Vulputate Ullamcorper Corp.,28562620525,a,5.54,music musical instruments pianos sheet music,M
Parturient Montes Foundation,28622174594,b,4.08,computers computer peripheral equipment software,J
Vel Sapien Imperdiet Industries,28639309109,c,1.7,jewelry watch clock silverware,A
Convallis In Corporation,28647642474,b,3.32,motor vehicle new parts,H
Et Libero Associates,28651583807,c,2.66,watch clock jewelry repair,V
Ipsum Dolor Limited,28663538418,a,6.09,equipment tool furniture appliance rent al leasing,S
Elementum At LLP,28681229636,b,3.84,digital goods books movies music,F
Eget Company,28687004922,b,3.88,computer programming data processing integrated systems design,C
Mollis Phasellus Ltd,28690231799,b,4.31,furniture home furnishings equipment manufacturers except appliances,T
Neque Institute,28748147493,c,2.51,gift card novelty souvenir,P
Dictum Proin Eget Corp.,28755901991,e,0.31,stationery office printing writing paper,D
Non Lacinia Associates,28771494032,a,5.89,health beauty spas,N
Aenean Sed Corporation,28803237812,b,4.4,gift card novelty souvenir,P
Libero Limited,28827474922,a,6.09,opticians optical goods eyeglasses,I
In Faucibus Orci LLC,28829519760,a,5.6,shoe,B
Velit In Incorporated,28836033916,a,5.54,equipment tool furniture appliance rent al leasing,S
Purus Nullam Scelerisque Corporation,28855451293,c,1.52,watch clock jewelry repair,V
Mauris Nulla Integer Ltd,28880110118,a,6.0,music musical instruments pianos sheet music,M
Nec Orci Ltd,28896046710,a,6.75,computers computer peripheral equipment software,J
Conubia Nostra Limited,28935822912,c,2.06,shoe,B
Commodo LLC,28941011848,b,4.16,watch clock jewelry repair,V
Mollis Lectus Industries,29023134283,b,4.35,tent awning,X
Ut Mi Associates,29027010572,c,1.9,jewelry watch clock silverware,A
Duis Incorporated,29032530325,c,1.78,watch clock jewelry repair,V
Arcu Imperdiet Ullamcorper LLC,29063380341,a,6.38,computer programming data processing integrated systems design,C
Phasellus LLP,29068447069,b,3.28,antique repairs restoration,R
Nunc Nulla Corporation,29074473351,c,1.83,florists nursery stock flowers,U
Sed Consequat Auctor Associates,29102388616,a,6.33,florists nursery stock flowers,U
Risus Quisque Corp.,29122719261,c,2.87,motor vehicle new parts,H
Nunc Interdum Corporation,29156207537,b,3.64,digital goods books movies music,F
Ac Eleifend PC,29166700531,d,1.33,telecom,Q
Vel Foundation,29202486033,b,4.42,stationery office printing writing paper,D
Class Aptent LLC,29216160692,a,5.6,lawn garden supply outlets including nurseries,W
Etiam Limited,29234580033,a,6.19,antique repairs restoration,R
Fusce Incorporated,29253286472,b,3.53,jewelry watch clock silverware,A
Arcu Vel Corporation,29276411530,b,3.95,artist supply craft,E
Class Aptent Corp.,29279482521,c,2.13,antique repairs restoration,R
Metus Aenean Sed Associates,29286506036,c,2.33,music musical instruments pianos sheet music,M
Ligula Elit Corp.,29317230624,a,5.63,tent awning,X
Urna Industries,29351616009,c,1.86,equipment tool furniture appliance rent al leasing,S
Vestibulum Limited,29362189014,a,6.74,digital goods books movies music,F
Commodo Auctor Incorporated,29413883988,a,6.01,hobby toy game,O
Lacus Varius Et Incorporated,29491615873,a,6.01,watch clock jewelry repair,V
Sed Dictum Ltd,29505435279,c,2.2,jewelry watch clock silverware,A
At Sem Corp.,29521780474,a,5.93,cable satellite pay television radio,K
Urna Justo Associates,29524720064,b,3.29,equipment tool furniture appliance rent al leasing,S
Ligula PC,29550468444,a,5.53,cable satellite pay television radio,K
Id Risus Ltd,29613837166,b,4.33,cable satellite pay television radio,K
Tellus Id LLC,29616684420,b,3.5,watch clock jewelry repair,V
Iaculis Odio Nam Foundation,29623808496,c,2.22,jewelry watch clock silverware,A
Morbi Sit Associates,29624063484,a,5.83,artist supply craft,E
Id Enim Inc.,29625244690,a,6.01,books periodicals newspapers,G
Augue Sed Inc.,29633331621,c,1.78,digital goods books movies music,F
Sodales Elit Erat Corporation,29639699851,a,6.21,lawn garden supply outlets including nurseries,W
Et Associates,29641342749,a,6.43,computer programming data processing integrated systems design,C
Suscipit Nonummy Institute,29680923658,a,6.39,watch clock jewelry repair,V
Cras Vehicula Aliquet Corp.,29681526553,a,6.24,tent awning,X
Eget Metus PC,29687247370,b,4.81,music musical instruments pianos sheet music,M
Sed Diam Associates,29693559566,c,2.73,motor vehicle new parts,H
Egestas A LLP,29730124424,a,6.2,bicycle,Y
Tellus Imperdiet Industries,29737773005,a,6.2,bicycle,Y
Justo Sit Incorporated,29745128769,a,5.82,tent awning,X
Nunc Ullamcorper Velit Limited,29748559436,a,6.2,gift card novelty souvenir,P
Scelerisque Neque Associates,29778062495,a,6.52,shoe,B
Arcu Corporation,29780390141,a,6.77,bicycle,Y
Lectus Justo Eu Incorporated,29782968433,b,4.33,motor vehicle new parts,H
Sollicitudin Orci Inc.,29839336901,b,4.54,shoe,B
Id Limited,29859203033,b,4.33,gift card novelty souvenir,P
Ullamcorper Corp.,29917527785,b,4.1,books periodicals newspapers,G
Tellus Justo Sit Company,29921604246,b,4.33,equipment tool furniture appliance rent al leasing,S
Amet Ornare Inc.,29922107583,a,6.69,hobby toy game,O
Sodales Incorporated,29936037423,c,1.97,hobby toy game,O
Vel Venenatis Vel Limited,29956692423,a,6.49,lawn garden supply outlets including nurseries,W
Gravida Aliquam Tincidunt Industries,30035541512,c,2.05,hobby toy game,O
Lobortis Ultrices Vivamus Foundation,30074252567,c,2.32,hobby toy game,O
Ipsum Company,30122382323,b,3.36,watch clock jewelry repair,V
Tempus Risus LLC,30137717102,a,6.83,antique repairs restoration,R
Neque Associates,30140204602,a,6.47,computer programming data processing integrated systems design,C
Feugiat Institute,30166624802,b,4.74,watch clock jewelry repair,V
Congue A Incorporated,30169909013,a,6.14,artist supply craft,E
Orci Luctus LLP,30203637111,c,1.88,bicycle,Y
Laoreet Inc.,30209373786,b,4.38,equipment tool furniture appliance rent al leasing,S
Et Malesuada Fames Limited,30214222203,a,6.21,digital goods books movies music,F
Arcu Vivamus Sit Limited,30275989942,a,5.91,shoe,B
Mauris Erat Corp.,30280912400,d,0.85,antique repairs restoration,R
Sem Pellentesque Ut Incorporated,30288006732,a,6.33,music musical instruments pianos sheet music,M
Proin Eget Odio Institute,30299051123,a,5.69,digital goods books movies music,F
Semper Egestas LLP,30372130473,a,5.73,music musical instruments pianos sheet music,M
Congue Turpis Ltd,30378250411,c,2.11,furniture home furnishings equipment manufacturers except appliances,T
Nulla Eu Neque Limited,30385986557,c,1.82,digital goods books movies music,F
Lobortis Industries,30389290864,b,3.36,digital goods books movies music,F
Ac Feugiat LLC,30403523748,a,6.21,computers computer peripheral equipment software,J
Nec Mollis PC,30415756696,c,1.7,music musical instruments pianos sheet music,M
Mauris Morbi Ltd,30417042223,b,4.98,music musical instruments pianos sheet music,M
Proin Sed Foundation,30429611528,c,2.81,equipment tool furniture appliance rent al leasing,S
Aliquet Magna LLC,30434864008,a,5.52,furniture home furnishings equipment manufacturers except appliances,T
At Lacus Quisque Corporation,30439702384,b,4.76,florists nursery stock flowers,U
Sit Amet Company,30440941247,c,2.19,stationery office printing writing paper,D
Euismod Est Foundation,30458474292,a,5.62,watch clock jewelry repair,V
Tellus Sem Mollis Institute,30571576650,d,1.31,florists nursery stock flowers,U
Mauris Eu PC,30623214058,c,2.06,gift card novelty souvenir,P
Phasellus Nulla Corp.,30674020809,a,6.8,shoe,B
Dolor Egestas Institute,30689045280,b,3.55,antique repairs restoration,R
Pharetra Sed Foundation,30749472383,a,6.33,books periodicals newspapers,G
Massa Vestibulum Ltd,30769373086,c,1.72,jewelry watch clock silverware,A
Egestas Sed Pharetra Corp.,30772059502,b,4.82,antique repairs restoration,R
Sed Et Associates,30775213097,a,5.85,furniture home furnishings equipment manufacturers except appliances,T
Nam Consequat Institute,30779952495,d,1.29,stationery office printing writing paper,D
Pede LLP,30780133873,c,2.1,telecom,Q
Nunc Ullamcorper Company,30801495844,b,4.58,opticians optical goods eyeglasses,I
Ut Inc.,30822803386,a,5.57,cable satellite pay television radio,K
Nisl Sem Limited,30864611742,b,4.79,shoe,B
Sem Magna Nec Industries,30900210196,b,4.98,jewelry watch clock silverware,A
Justo Nec Associates,30942453214,a,6.83,opticians optical goods eyeglasses,I
Augue Sed Corporation,31003199153,b,4.58,lawn garden supply outlets including nurseries,W
Semper Et Lacinia Company,31029589578,c,2.75,gift card novelty souvenir,P
Magna Praesent Industries,31068797937,c,2.34,hobby toy game,O
Porttitor Eros Nec Ltd,31092671220,a,6.25,digital goods books movies music,F
Commodo Hendrerit Donec Corp.,31101120643,a,6.37,cable satellite pay television radio,K
Ut Semper Corporation,31153557593,d,1.33,telecom,Q
Enim Condimentum Inc.,31169432936,b,3.42,shoe,B
Justo Eu Corporation,31202988152,b,3.19,furniture home furnishings equipment manufacturers except appliances,T
Ipsum Leo LLP,31238575689,a,6.68,computers computer peripheral equipment software,J
Enim Commodo Inc.,31245723081,a,6.28,shoe,B
Blandit Nam Nulla Associates,31263348006,a,5.81,stationery office printing writing paper,D
Magna Sed Institute,31322181845,e,0.31,cable satellite pay television radio,K
Tellus Faucibus Leo Consulting,31323293694,c,2.08,motor vehicle new parts,H
Dis Parturient Ltd,31330885977,b,4.66,computers computer peripheral equipment software,J
Lacus Aliquam Corporation,31334588839,b,4.22,antique repairs restoration,R
Lorem Ac Risus Company,31337247877,a,6.9,art dealers galleries,L
Fermentum Metus Industries,31363277682,a,6.68,opticians optical goods eyeglasses,I
Semper Auctor PC,31385641294,b,4.52,motor vehicle new parts,H
Blandit Congue In Corp.,31397959824,a,6.89,books periodicals newspapers,G
Non Egestas PC,31400548982,b,4.26,art dealers galleries,L
Quis Turpis Corporation,31416331470,a,6.57,antique repairs restoration,R
Nonummy Associates,31420388495,c,2.22,lawn garden supply outlets including nurseries,W
Phasellus Ltd,31456306765,a,5.89,health beauty spas,N
Non Hendrerit Id LLC,31468420954,c,2.49,computer programming data processing integrated systems design,C
Egestas Aliquam Corp.,31471800699,c,1.57,health beauty spas,N
Suspendisse Industries,31471844679,a,6.37,art dealers galleries,L
Urna Justo Industries,31472801314,a,6.56,music musical instruments pianos sheet music,M
Velit Inc.,31552582037,b,5.04,telecom,Q
Est Arcu Ac Incorporated,31562649946,b,4.01,computer programming data processing integrated systems design,C
Pharetra Nam Corporation,31570712230,a,6.44,health beauty spas,N
Sed Corp.,31580243600,a,6.57,health beauty spas,N
Dolor Dapibus Gravida Associates,31585975447,b,3.12,digital goods books movies music,F
Velit Industries,31587341011,a,6.69,shoe,B
Enim Company,31595398112,b,4.77,computers computer peripheral equipment software,J
Fusce Mollis Duis Corp.,31607615186,a,5.62,watch clock jewelry repair,V
Ante Bibendum Corporation,31630375469,d,1.08,motor vehicle new parts,H
Lorem Luctus Incorporated,31637210281,a,6.91,gift card novelty souvenir,P
Lorem Sit LLC,31681476434,c,2.22,cable satellite pay television radio,K
Etiam Laoreet LLP,31686734877,c,2.49,health beauty spas,N
Vel Pede Blandit Corporation,31736633670,a,6.35,digital goods books movies music,F
Hendrerit Id Ante LLC,31754766736,c,1.56,cable satellite pay television radio,K
Rhoncus Donec Est Industries,31759308958,a,6.84,bicycle,Y
Enim Diam Associates,31770481079,b,3.63,bicycle,Y
Dolor Dapibus LLC,31823794994,a,6.76,hobby toy game,O
Suspendisse Dui Institute,31840064969,c,2.71,opticians optical goods eyeglasses,I
Parturient Montes Nascetur Corp.,31861513116,c,2.99,books periodicals newspapers,G
Risus Donec Industries,31867263249,b,4.46,shoe,B
In Consectetuer Industries,31869958432,b,3.93,lawn garden supply outlets including nurseries,W
Ut LLP,31905921746,a,6.52,tent awning,X
Amet Associates,31940875883,a,6.46,cable satellite pay television radio,K
Auctor Foundation,31969118588,a,5.74,digital goods books movies music,F
Sed Leo Cras Incorporated,31969420866,c,2.69,computer programming data processing integrated systems design,C
Commodo Institute,32021853619,c,1.86,art dealers galleries,L
Eget Metus LLP,32069730393,a,5.8,computers computer peripheral equipment software,J
Luctus PC,32082195327,b,3.12,watch clock jewelry repair,V
Quisque Inc.,32165886699,a,6.03,artist supply craft,E
Non PC,32173481131,a,6.3,telecom,Q
Cubilia Curae Donec Inc.,32176774610,b,5.1,watch clock jewelry repair,V
Vestibulum Accumsan Neque Industries,32196789327,b,4.18,hobby toy game,O
Massa Non LLC,32246751900,b,3.12,florists nursery stock flowers,U
Id Foundation,32258116290,c,1.64,florists nursery stock flowers,U
Nam Porttitor Scelerisque Corporation,32262357239,a,6.43,motor vehicle new parts,H
Massa Lobortis Consulting,32329455050,b,3.44,health beauty spas,N
Donec Vitae Corporation,32350997564,a,6.74,lawn garden supply outlets including nurseries,W
Orci In Consequat Corporation,32361057556,a,6.61,gift card novelty souvenir,P
Urna Convallis Inc.,32380337852,a,6.26,bicycle,Y
Morbi Vehicula Limited,32413511882,b,3.35,motor vehicle new parts,H
Hendrerit Consulting,32423905315,c,2.0,equipment tool furniture appliance rent al leasing,S
Dolor Nonummy Corporation,32446633720,a,5.76,computers computer peripheral equipment software,J
